win_len,win_step,lr,accuracy,loss,f1
70,1,0.001,0.6015878458576214,1.0930332388313186,0.5501502375229863
70,1,0.0001,0.602220874106507,1.0733335564118494,0.515495622927887
70,1,1e-05,0.5548492601482341,1.1295904056301194,0.47754481145019295
70,1,1e-06,0.5341967135283412,1.1528242164982705,0.3459710762394949
70,5,0.001,0.5928514903719335,1.076965904707913,0.5485147148629643
70,5,0.0001,0.6201529939329992,1.0596139648798053,0.5402429883887405
70,5,1e-05,0.5579002901609074,1.1151203213549956,0.48244370084704935
70,5,1e-06,0.4918227380638354,1.2770892196297803,0.30693272655436427
85,1,0.001,0.533247102922155,1.2499476809080454,0.5110332382988901
85,1,0.0001,0.641316685584563,1.0238360572784344,0.5593369091250123
85,1,1e-05,0.5785708629200433,1.1007228278601144,0.4817707004621929
85,1,1e-06,0.6011931473220178,1.0528403835695104,0.4242756326316655
85,5,0.001,0.5901531151003168,1.1272368696444484,0.532013581868714
85,5,0.0001,0.5863252375923971,1.0893268023461198,0.5207445593573462
85,5,1e-05,0.6038806758183738,1.041250779076136,0.4629961282053059
85,5,1e-06,0.555702217529039,1.2960932358013664,0.32667200620992703
100,1,0.001,0.2556204263862838,1.9343883138009932,0.13101134253004393
100,1,0.0001,0.6159881647425567,1.049900047815247,0.5270546296300872
100,1,1e-05,0.5331149446543206,1.1964725576631396,0.48708917216374215
100,1,1e-06,0.5251895490449898,1.1690639292464682,0.38748357623931257
100,5,0.001,0.5992073976221929,1.1101222348545863,0.5568254456410043
100,5,0.0001,0.6110964332892999,1.0606787512411058,0.5271867638770098
100,5,1e-05,0.5844121532364597,1.082515720046732,0.4975964626218964
100,5,1e-06,0.5348745046235138,1.257599795589044,0.3234358498884777
